timestamp,direction,car,bike,truck
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,16,0,0
2025-06-22 22:00:00,North,4,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,9,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,17,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,4,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,16,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,16,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,16,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,18,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,17,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,18,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,18,0,0
2025-06-22 22:00:00,North,10,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,15,0,0
2025-06-22 22:00:00,West,18,0,0
2025-06-22 22:00:00,North,10,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,16,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,16,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,15,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,16,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,10,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,9,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,9,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,10,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,12,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,9,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,9,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,9,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,15,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,12,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,9,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,12,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,12,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,9,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,12,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,12,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,9,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,12,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,7,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,12,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,11,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,11,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,11,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,10,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,12,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,12,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,9,0,0
2025-06-22 22:00:00,West,12,0,0
2025-06-22 22:00:00,North,11,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,9,0,0
2025-06-22 22:00:00,West,12,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,10,0,0
2025-06-22 22:00:00,South,9,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,9,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,9,0,0
2025-06-22 22:00:00,West,12,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,9,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,7,0,0
2025-06-22 22:00:00,West,12,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,7,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,9,0,0
2025-06-22 22:00:00,South,7,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,9,0,0
2025-06-22 22:00:00,South,6,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,7,0,0
2025-06-22 22:00:00,West,16,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,10,0,0
2025-06-22 22:00:00,South,7,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,7,0,0
2025-06-22 22:00:00,West,16,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,9,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,9,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,16,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,9,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,9,0,0
2025-06-22 22:00:00,South,7,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,9,0,0
2025-06-22 22:00:00,West,12,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,6,0,0
2025-06-22 22:00:00,West,11,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,7,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,11,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,11,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,11,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,11,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,9,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,9,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,9,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,11,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,9,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,11,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,7,0,0
2025-06-22 22:00:00,West,16,0,0
2025-06-22 22:00:00,North,10,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,7,0,0
2025-06-22 22:00:00,West,12,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,10,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,12,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,7,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,7,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,11,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,8,0,0
2025-06-22 22:00:00,South,6,0,0
2025-06-22 22:00:00,West,12,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,12,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,7,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,9,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,12,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,4,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,10,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,12,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,11,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,11,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,13,0,0
2025-06-22 22:00:00,North,8,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,8,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,10,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,6,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,6,0,0
2025-06-22 22:00:00,South,12,0,0
2025-06-22 22:00:00,West,14,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,7,0,0
2025-06-22 22:00:00,South,13,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,14,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,7,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,15,0,0
2025-06-22 22:00:00,North,5,0,0
2025-06-22 22:00:00,East,5,0,0
2025-06-22 22:00:00,South,11,0,0
2025-06-22 22:00:00,West,14,0,0
